,Uid,Elevation_m
718,-157.05049_21.16691,243.6869965
719,-157.05096_21.16554,241.1719971
720,-157.05310_21.16421,232.7539978
721,-157.05294_21.16487,230.0370026
722,-157.05286_21.16519,230.8600006
723,-157.05277_21.16551,231.7980042
724,-157.05253_21.16648,233.6470032
725,-157.05244_21.16681,234.0050049
726,-157.05233_21.16722,235.5399933
727,-157.05211_21.16806,239.6150055
728,-157.05260_21.16408,233.927002
729,-157.05251_21.16443,233.4940033
730,-157.05243_21.16475,233.0410004
731,-157.05234_21.16507,233.7890015
732,-157.05226_21.16540,234.6609955
733,-157.05218_21.16572,235.6719971
734,-157.05210_21.16604,236.003006
735,-157.05201_21.16637,236.4570007
736,-157.05193_21.16669,237.4459991
737,-157.05191_21.16708,236.9779968
738,-157.05165_21.16730,238.2449951
739,-156.75043_21.13161,283.4859924
740,-156.74406_21.14693,282.769989
741,-156.95895_21.06726,20.0
742,-156.95723_21.06685,20.0
743,-156.95702_21.06678,20.0
744,-156.98756_21.07875,20.3724003
745,-156.98771_21.07889,21.9549007
746,-156.98794_21.07889,21.9927998
747,-156.98846_21.07757,20.0
748,-156.98828_21.07804,19.9997997
749,-156.99793_21.08438,46.7252998
750,-156.99855_21.08422,44.6677017
751,-156.99853_21.08458,47.7186012
752,-156.99834_21.08485,50.803299
